,# Days with AQI ,# Days Good,# Days Moderate,# Days Unhealthy for Sensitive Groups,# Days Unhealthy,# Days Very Unhealthy,# days Hazerdous,AQI Max,AQI 90th %ile,AQI Median,# Days CO,# Days NO2,# Days 03,# Days PM2.5,# Days PM10,17
Maine,230,221,9,0,0,0,0,67,45,35,0,4,188,38,0,120
,363,338,25,0,0,0,0,76,47,33,0,0,182,179,2,0
,360,327,33,0,0,0,0,70,49,33.5,0,0,135,224,1,0
,366,262,104,0,0,0,0,97,58,42,0,5,153,207,1,0
,148,142,6,0,0,0,0,71,45,31,0,0,148,0,0,0
,244,226,17,1,0,0,0,125,47,33,0,0,204,38,2,121
,362,326,36,0,0,0,0,100,50,33,0,0,193,168,1,0
,356,303,53,0,0,0,0,95,53,36,0,0,108,244,4,0
,365,313,49,3,0,0,0,129,54,36,0,4,260,98,3,0
,211,192,17,2,0,0,0,119,50,35,0,0,211,0,0,0
,203,194,9,0,0,0,0,84,46,30,0,0,162,39,2,122
,361,324,37,0,0,0,0,87,51,33,0,0,172,189,0,0
,358,327,31,0,0,0,0,97,48,32,0,0,194,162,2,0
,362,320,39,3,0,0,0,126,52,37,0,3,276,81,2,0
,212,206,6,0,0,0,0,80,45,34.5,0,0,212,0,0,0
,299,242,57,0,0,0,0,92,59,37,0,0,130,167,2,123
,358,294,64,0,0,0,0,89,55,35,0,0,158,198,2,0
,359,296,63,0,0,0,0,77,55,35,0,0,149,209,1,0
,365,261,101,3,0,0,0,120,66,41,0,5,196,160,4,0
,301,296,5,0,0,0,0,87,44,33,0,0,301,0,0,0
,305,254,51,0,0,0,0,77,53,36,0,0,134,171,0,124
,271,245,26,0,0,0,0,74,49,35,0,0,179,90,2,0
,305,281,24,0,0,0,0,77,48,33,0,0,168,136,1,0
,305,233,71,1,0,0,0,129,59,40,0,0,193,108,4,0
,295,283,12,0,0,0,0,84,44,33,0,0,295,0,0,0
,365,235,127,3,0,0,0,143,60,43,0,0,116,249,0,220
,366,276,88,0,2,0,0,157,58,41,0,2,175,189,0,0
,365,330,35,0,0,0,0,81,49,36,0,0,245,120,0,0
,364,359,5,0,0,0,0,64,44,34,0,0,364,0,0,0
,363,332,31,0,0,0,0,93,49,36,0,0,336,27,0,0
,366,131,224,11,0,0,0,140,80,54,0,7,114,245,0,0
,366,274,92,0,0,0,0,81,58,41,0,0,172,194,0,0
,366,301,65,0,0,0,0,74,54,38,0,0,220,146,0,0
,349,324,25,0,0,0,0,81,48,21,0,0,0,349,0,0
,360,345,15,0,0,0,0,90,44,33,0,0,360,0,0,0
,365,251,112,2,0,0,0,118,60,40,0,0,150,215,0,221
,365,223,140,2,0,0,0,108,64,46,0,1,118,246,0,0
,365,285,79,1,0,0,0,124,59,38,0,0,178,187,0,0
,360,334,25,1,0,0,0,105,48,35,0,0,360,0,0,0
,361,300,60,1,0,0,0,105,57,38,0,0,318,43,0,0
,365,111,233,18,3,0,0,156,84,55,0,11,81,273,0,0
,365,239,126,0,0,0,0,100,61,44,0,0,136,229,0,0
,365,277,87,1,0,0,0,113,59,41,0,0,188,177,0,0
,347,311,35,1,0,0,0,107,51,25,0,0,0,347,0,0
,351,332,19,0,0,0,0,97,46,32,0,0,351,0,0,0
,365,275,90,0,0,0,0,88,57,40,0,0,173,192,0,222
,365,237,126,2,0,0,0,150,62,44,0,4,124,237,0,0
,365,326,39,0,0,0,0,71,51,38,0,0,210,155,0,0
,361,349,12,0,0,0,0,67,44,36,0,0,361,0,0,0
,355,322,29,4,0,0,0,140,50,36,0,0,330,25,0,0
,365,134,220,10,1,0,0,161,80,54,1,17,105,242,0,0
,365,270,93,2,0,0,0,126,58,42,0,0,157,208,0,0
,365,316,49,0,0,0,0,69,52,38,0,0,214,151,0,0
,332,288,44,0,0,0,0,83,52,26,0,0,0,332,0,0
,360,352,8,0,0,0,0,84,43,32,0,0,360,0,0,0
,365,244,114,4,3,0,0,186,62,42,0,0,125,240,0,223
